序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期,卫星,小时,星期,月份,时间戳,季节_春季,半长轴_经度,控制状态_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,预测控制状态
157,2024-05-04 14:47:11,-3049.8156407267893,-0.5005808048707998,-1.0505329327717783,0.0,2024-05-04,59020,-2.225860346621565,-1.0190880458387717,-2.0134376272135097,-45.721923345429985,True,-0.1495956234159006,0,0.02225283150667644,1.0323979836992911,1.0125343804509357,0.6466401833007527,-0.7457786696920964,0.7117743370098526,0.41254335717884455,-0.7820806019558044,1607.391846926741,-252.6151798793594,-422.9634588933389,48.92199957886782,94.31648741306215,221.5066177423934,-1487.6520563931258,-2050.2666903041995,0.0
160,2024-05-05 16:52:02,-3049.814913046076,-0.5005625400075912,-1.0505329327717783,0.0,2024-05-05,59020,-2.171487437398506,-0.7688399072865925,-2.0134376272135097,-45.72192334535867,True,-0.14113325700929405,0,0.04946912750907703,1.263785194818642,0.9662305161351075,0.999545141519049,-1.1009593939169513,0.7373428731073429,0.23534343704528038,-0.6406508883123643,1607.4016781096054,-252.57503346689535,-422.9678597717616,49.10657382603772,94.14782074745676,221.50330766615804,-1487.6817259101674,-2050.243939532077,0.0
161,2024-05-06 14:11:58,-3049.8143454446567,-0.5005803801065392,-1.0505329327717783,0.0,2024-05-06,59020,-2.225860346621565,-2.2703287385996673,-2.0134376272135097,-45.72192334530033,True,-0.13407953117253976,0,0.04089970286816707,0.9871218157030365,0.986565573401307,-1.2377129781470244,0.8928406413220946,0.8218375757649371,0.45244649666824066,-0.7176695915302637,1607.4118047211784,-252.6397529233852,-422.97761864513575,47.97947674912832,95.13630317125686,221.56064350676672,-1487.6338502437115,-2050.235939004786,0.0
165,2024-05-07 17:57:32,-3049.8136679848985,-0.5005520669137892,-1.0505329327717783,0.0,2024-05-07,59020,-2.144300982786976,-2.0200806000474882,-2.0134376272135097,-45.721923345224425,True,-0.12631808809359424,0,0.08223714361578016,1.3295315374240586,0.9112784892266131,-0.8966644208170674,0.5243520027875217,0.8707573535044061,0.18511738625001417,-0.5066945074696773,1607.4234266063597,-252.58132073934516,-422.9868741265204,48.16209956691356,94.96545822734241,221.56116528651535,-1487.6785944751468,-2050.2018758104314,0.0
168,2024-05-08 17:56:06,-3049.8130873051055,-0.5005510846464363,-1.0505329327717783,0.0,2024-05-08,59020,-2.144300982786976,-1.7698324614953092,-2.0134376272135097,-45.72192334515887,True,-0.11935128923149846,0,0.08061998192891069,1.3390975884203675,0.9219881131610096,-0.5199955492337924,0.19595328513669347,0.8500079922799029,0.18586378303459186,-0.5080082970762791,1607.4273907770234,-252.57744535666328,-422.9821204212441,48.35058280848261,94.801225722825,221.55022951113304,-1487.679036115356,-2050.203156142277,0.0
171,2024-05-09 16:23:27,-3049.8125374902747,-0.5005607214856002,-1.0505329327717783,0.0,2024-05-09,59020,-2.171487437398506,-1.51958432294313,-2.0134376272135097,-45.721923345097466,True,-0.11263458629490737,0,0.06467138270298736,1.2376283437477795,0.9613901635876008,-0.1314495339908378,-0.11907940320828506,0.8060185248100105,0.2759009414611855,-0.5800145847619058,1607.4288137775525,-252.59175803760075,-422.9726936949661,48.5410195372182,94.63919700005219,221.5354743732788,-1487.6647063649489,-2050.216209847558,0.0
173,2024-05-10 14:41:12,-3049.8119479171874,-0.500573544056719,-1.0505329327717783,0.0,2024-05-10,59020,-2.225860346621565,-1.2693361843909508,-2.0134376272135097,-45.7219233450365,True,-0.10542005801492124,0,0.03457662462626039,1.0255510047314584,1.0296441074991243,0.26893707051006654,-0.42081228303410034,0.738784293917256,0.4563123442460656,-0.7219885627133112,1607.4282830992197,-252.62433068475542,-422.958452337504,48.73340780630927,94.47935162729343,221.51688934598653,-1487.6353591011623,-2050.2406723015097,0.0
176,2024-05-11 18:44:29,-3049.8112819663975,-0.5005475006979869,-1.0505329327717783,0.0,2024-05-11,59020,-2.1171145281754464,-1.0190880458387717,-2.0134376272135097,-45.72192334495979,True,-0.09768787287843138,0,0.09018368352358891,1.4782530544771555,0.9257899209611457,0.5981528410258518,-0.8026131123024207,0.8109314229295668,0.09864257064514681,-0.4404142792119206,1607.4422338390514,-252.54769121478031,-422.97243278871144,48.91407843995023,94.3063112613246,221.52123594308424,-1487.6949805782197,-2050.194979078047,0.0
178,2024-05-12 16:46:15,-3049.8107216888675,-0.5005554384801082,-1.0505329327717783,0.0,2024-05-12,59020,-2.171487437398506,-0.7688399072865925,-2.0134376272135097,-45.72192334489955,True,-0.09087943173394133,0,0.06001953585177212,1.2664498056379527,0.9937744638766551,0.9985333620884688,-1.1043332178509497,0.7437073582523562,0.2789997051412385,-0.5829829460184858,1607.4413805654376,-252.5802184903482,-422.9582698052399,49.1064673416379,94.14647649436371,221.50265571071796,-1487.6657571272585,-2050.21963660784,0.0
181,2024-05-13 19:34:20,-3049.810031150735,-0.5005499961880184,-1.0505329327717783,0.0,2024-05-13,59020,-2.089928073563917,-2.2703287385996673,-2.0134376272135097,-45.72192334482627,True,-0.08262835808184786,0,0.12297011350870476,1.5432657661465061,0.8712098120311573,-1.2980235189582388,0.822717134854913,0.9443406893676143,0.047838104867689336,-0.30589149746989575,1607.4641814014597,-252.55401304135466,-422.9913985338298,47.9696043054165,95.12394295986903,221.579091855349,-1487.6917865122691,-2050.152802382075,0.0
183,2024-05-14 14:59:22,-3049.8095399270187,-0.5005695220701258,-1.0505329327717783,0.0,2024-05-14,59020,-2.225860346621565,-2.0200806000474882,-2.0134376272135097,-45.721923344773174,True,-0.07657413891609662,0,0.049852716398071095,0.999526780211092,1.0249192308589155,-0.8620711561350052,0.5610393471334796,0.80747031994775,0.4973057828793489,-0.6609825056649679,1607.4556915565015,-252.64108945192422,-422.9632201877514,48.16785265793861,94.97071843410927,221.5490512182938,-1487.6182262149457,-2050.2127731185833,0.0
